fiber_fraction,Ef_Em,width_to_thickness_ratio,length_value,theta,length_distribution_type,sim,random_seed,box_x,box_z,E1_Em,E2_Em,E3_Em,G12_Em,G13_Em,G23_Em,v12,v13,v23,L_band
0.1,48.0,2.0,50.0,10,constant,sim005_10,3,250,250,1.28657,1.27468,1.81907,0.47146,0.50976,0.50143,0.35914,0.22769,0.22804,short
0.15,4.0,2.0,50.0,10,constant,sim005_15,3,250,250,1.21648,1.2155,1.32464,0.45586,0.46691,0.46709,0.33047,0.29157,0.29195,short
0.15,12.0,2.0,50.0,10,constant,sim005_15,3,250,250,1.35452,1.35202,1.76778,0.50039,0.53196,0.53264,0.34515,0.24315,0.24411,short
0.15,20.0,2.0,50.0,10,constant,sim005_15,3,250,250,1.39884,1.39579,1.9958,0.51373,0.55506,0.556,0.35162,0.22254,0.22371,short
0.15,28.0,2.0,50.0,10,constant,sim005_15,3,250,250,1.42143,1.41811,2.13784,0.52037,0.56742,0.56852,0.35525,0.21115,0.21242,short
0.15,32.0,2.0,50.0,10,constant,sim005_15,3,250,250,1.42911,1.42571,2.19086,0.5226,0.57172,0.57287,0.35653,0.20716,0.20845,short
0.15,40.0,2.0,50.0,10,constant,sim005_15,3,250,250,1.44047,1.43696,2.27423,0.52588,0.5782,0.57943,0.35847,0.20113,0.20246,short
0.15,48.0,2.0,50.0,10,constant,sim005_15,3,250,250,1.44853,1.44496,2.33704,0.52819,0.58285,0.58415,0.35988,0.19678,0.19813,short
0.2,4.0,2.0,50.0,10,constant,sim005_20,3,250,250,1.29051,1.28985,1.438,0.48584,0.49971,0.49943,0.33069,0.28166,0.28178,short
0.2,12.0,2.0,50.0,10,constant,sim005_20,3,250,250,1.47792,1.47646,2.05778,0.55052,0.59152,0.5907,0.34782,0.22561,0.22596,short
0.2,20.0,2.0,50.0,10,constant,sim005_20,3,250,250,1.53815,1.53652,2.38707,0.57044,0.62488,0.62385,0.35473,0.20266,0.2031,short
0.2,28.0,2.0,50.0,10,constant,sim005_20,3,250,250,1.56887,1.56719,2.59598,0.58042,0.64294,0.64182,0.35847,0.19018,0.19064,short
0.2,32.0,2.0,50.0,10,constant,sim005_20,3,250,250,1.57931,1.57763,2.67474,0.58379,0.64927,0.64812,0.35977,0.18582,0.18629,short
0.2,40.0,2.0,50.0,10,constant,sim005_20,3,250,250,1.5948,1.59311,2.79946,0.58876,0.65883,0.65764,0.36172,0.17928,0.17976,short
0.2,48.0,2.0,50.0,10,constant,sim005_20,3,250,250,1.6058,1.60411,2.89416,0.59227,0.66575,0.66454,0.36312,0.17457,0.17505,short
0.25,4.0,2.0,50.0,10,constant,sim005_25,3,250,250,1.37506,1.37462,1.55557,0.51825,0.53459,0.53446,0.32826,0.27367,0.27384,short
0.25,12.0,2.0,50.0,10,constant,sim005_25,3,250,250,1.63036,1.6293,2.3734,0.608,0.65783,0.65747,0.34486,0.21226,0.21274,short
0.25,20.0,2.0,50.0,10,constant,sim005_25,3,250,250,1.71441,1.71319,2.82394,0.63681,0.70385,0.70343,0.35128,0.18753,0.18813,short
0.25,28.0,2.0,50.0,10,constant,sim005_25,3,250,250,1.75764,1.75636,3.11595,0.6515,0.72908,0.72865,0.3547,0.17414,0.1748,short
